,Country,measurement,units,Year
2778,Brunei Darussalam,composition_other_percent,%,2005
2779,Cameroon,waste_treatment_other_percent,%,2008
2780,Cameroon,composition_other_percent,%,2008
2781,Haiti,waste_treatment_other_percent,%,2016
2782,Haiti,composition_other_percent,%,2016
2783,Guyana,waste_treatment_other_percent,%,2010
2784,Guyana,composition_other_percent,%,2010
2785,"Macao SAR, China",waste_treatment_other_percent,%,2014
2786,"Macao SAR, China",composition_other_percent,%,2014
2787,Slovak Republic,waste_treatment_other_percent,%,2013
2788,Slovak Republic,composition_other_percent,%,2013
2789,Niger,waste_treatment_other_percent,%,2005
2790,Niger,composition_other_percent,%,2005
2791,,waste_treatment_other_percent,%,2002
2792,,composition_other_percent,%,2002
2793,Kiribati,waste_treatment_other_percent,%,2016
2794,Kiribati,composition_other_percent,%,2016
2795,Tanzania,waste_treatment_other_percent,tonnes/year,2012
2796,Tanzania,composition_other_percent,tonnes/year,2012
2797,Morocco,waste_treatment_other_percent,%,2014
2798,Morocco,composition_other_percent,%,2014
2799,Turks and Caicos Islands,waste_treatment_other_percent,%,2004
2800,Turks and Caicos Islands,composition_other_percent,%,2004
2801,Northern Mariana Islands,waste_treatment_other_percent,%,2016
2802,Northern Mariana Islands,composition_other_percent,%,2016
2803,Thailand,waste_treatment_other_percent,%,2012
2804,Thailand,composition_other_percent,%,2012
2805,Portugal,composition_paper_cardboard_percent,%,2015
2806,United Kingdom,composition_paper_cardboard_percent,%,2011
2807,Dominican Republic,composition_paper_cardboard_percent,%,2013
2808,Burundi,composition_paper_cardboard_percent,%,2005
2809,Senegal,composition_paper_cardboard_percent,%,2016
2810,Armenia,composition_paper_cardboard_percent,%,2015
2811,Japan,composition_paper_cardboard_percent,%,2015
2812,Jamaica,composition_paper_cardboard_percent,%,2013
2813,Israel,composition_paper_cardboard_percent,%,2012
2814,Croatia,composition_paper_cardboard_percent,%,2013
2815,Nigeria,composition_paper_cardboard_percent,%,2000
2816,Moldova,composition_paper_cardboard_percent,%,2014
2817,Albania,composition_paper_cardboard_percent,%,2015
2818,Georgia,composition_paper_cardboard_percent,%,2007
2819,Guinea,composition_paper_cardboard_percent,%,2007
2820,Kosovo,composition_paper_cardboard_percent,%,2012
2821,Angola,composition_paper_cardboard_percent,%,2008
2822,Burkina Faso,composition_paper_cardboard_percent,%,2016
2823,Jordan,composition_paper_cardboard_percent,%,2014
2824,Philippines,composition_paper_cardboard_percent,%,2013
2825,Kazakhstan,composition_paper_cardboard_percent,%,2015
2826,Sri Lanka,composition_paper_cardboard_percent,%,2015
2827,Liechtenstein,composition_paper_cardboard_percent,%,2012
2828,Montenegro,composition_paper_cardboard_percent,%,2013
2829,"Yemen, Rep.",composition_paper_cardboard_percent,%,2016
2830,"Korea, Rep.",composition_paper_cardboard_percent,%,2013
2831,Finland,composition_paper_cardboard_percent,%,2010
2832,China,composition_paper_cardboard_percent,%,2014
2833,Italy,composition_paper_cardboard_percent,%,2013
2834,Bulgaria,composition_paper_cardboard_percent,%,2014
2835,Switzerland,composition_paper_cardboard_percent,%,2002
2836,Ireland,composition_paper_cardboard_percent,%,2012
2837,Tunisia,composition_paper_cardboard_percent,%,2014
2838,Slovak Republic,composition_paper_cardboard_percent,%,2013
2839,Guatemala,composition_paper_cardboard_percent,%,2013
2840,Belarus,composition_paper_cardboard_percent,%,2016
2841,Cameroon,composition_paper_cardboard_percent,%,2008
2842,Mexico,composition_paper_cardboard_percent,%,2012
2843,Saudi Arabia,composition_paper_cardboard_percent,%,2015
2844,Colombia,composition_paper_cardboard_percent,%,2011
2845,Syrian Arab Republic,composition_paper_cardboard_percent,%,2010
2846,Greenland,composition_paper_cardboard_percent,%,2011
2847,Estonia,composition_paper_cardboard_percent,%,2013
2848,Malta,composition_paper_cardboard_percent,%,2012
2849,"Egypt, Arab Rep.",composition_paper_cardboard_percent,%,2013
2850,Belgium,composition_paper_cardboard_percent,%,2014
2851,Ghana,composition_paper_cardboard_percent,%,2015
2852,Honduras,composition_paper_cardboard_percent,%,2016
2853,Qatar,composition_paper_cardboard_percent,%,2016
2854,Vietnam,composition_paper_cardboard_percent,%,2010
2855,Pakistan,composition_paper_cardboard_percent,%,2017
2856,Niger,composition_paper_cardboard_percent,%,2005
2857,Timor-Leste,composition_paper_cardboard_percent,%,2014
2858,Libya,composition_paper_cardboard_percent,%,2010
2859,Chad,composition_paper_cardboard_percent,%,2006
2860,United States,composition_paper_cardboard_percent,%,2014
2861,Australia,composition_paper_cardboard_percent,%,2011
2862,Benin,composition_paper_cardboard_percent,%,2002
2863,"Micronesia, Fed. Sts.",composition_paper_cardboard_percent,%,2011
2864,Seychelles,composition_paper_cardboard_percent,%,2003
2865,Puerto Rico,composition_paper_cardboard_percent,%,2003
2866,Virgin Islands (U.S.),composition_paper_cardboard_percent,%,2015
2867,British Virgin Islands,composition_paper_cardboard_percent,%,2000
2868,St. Kitts and Nevis,composition_paper_cardboard_percent,%,2002
2869,Malaysia,composition_paper_cardboard_percent,%,2014
2870,Mauritius,composition_paper_cardboard_percent,%,2016
2871,Mauritania,composition_paper_cardboard_percent,%,2009
2872,Ukraine,composition_paper_cardboard_percent,%,2011
2873,Solomon Islands,composition_paper_cardboard_percent,%,2011
2874,Zimbabwe,composition_paper_cardboard_percent,%,2015
2875,Cuba,composition_paper_cardboard_percent,%,2005
2876,Greece,composition_paper_cardboard_percent,%,2006
2877,Bermuda,composition_paper_cardboard_percent,%,2010
2878,Bosnia and Herzegovina,composition_paper_cardboard_percent,%,2015
2879,Panama,composition_paper_cardboard_percent,%,2002
2880,Papua New Guinea,composition_paper_cardboard_percent,%,2014
2881,Algeria,composition_paper_cardboard_percent,%,2016
2882,"Hong Kong SAR, China",composition_paper_cardboard_percent,%,2016
2883,Ethiopia,composition_paper_cardboard_percent,%,1995
2884,Canada,composition_paper_cardboard_percent,%,2004
2885,Bangladesh,composition_paper_cardboard_percent,%,2012
2886,Luxembourg,composition_paper_cardboard_percent,%,2014
2887,Austria,composition_paper_cardboard_percent,%,2013
2888,Costa Rica,composition_paper_cardboard_percent,%,2014
2889,Denmark,composition_paper_cardboard_percent,%,2015
2890,Bahrain,composition_paper_cardboard_percent,%,2016
2891,Netherlands,composition_paper_cardboard_percent,%,2013
2892,Peru,composition_paper_cardboard_percent,%,2013
2893,Ecuador,composition_paper_cardboard_percent,%,2014
2894,Azerbaijan,composition_paper_cardboard_percent,%,2015
2895,Mozambique,composition_paper_cardboard_percent,%,2012
2896,"Iran, Islamic Rep.",composition_paper_cardboard_percent,%,2007
2897,Lebanon,composition_paper_cardboard_percent,%,2014
2898,French Polynesia,composition_paper_cardboard_percent,%,2012
2899,"Macedonia, FYR",composition_paper_cardboard_percent,%,2015
2900,Bolivia,composition_paper_cardboard_percent,%,2010
2901,Iceland,composition_paper_cardboard_percent,%,2013
2902,Cayman Islands,composition_paper_cardboard_percent,%,2003
2903,Marshall Islands,composition_paper_cardboard_percent,%,2012
2904,Vanuatu,composition_paper_cardboard_percent,%,2011
2905,Bhutan,composition_paper_cardboard_percent,%,2012
2906,Iraq,composition_paper_cardboard_percent,%,2009
2907,Brazil,composition_paper_cardboard_percent,%,2010
2908,Sweden,composition_paper_cardboard_percent,%,2014
2909,Latvia,composition_paper_cardboard_percent,%,2011
2910,Russian Federation,composition_paper_cardboard_percent,%,2013
2911,Lao PDR,composition_paper_cardboard_percent,%,2015
2912,Tuvalu,composition_paper_cardboard_percent,%,2016
2913,Haiti,composition_paper_cardboard_percent,%,2016
2914,West Bank and Gaza,composition_paper_cardboard_percent,%,2012
2915,El Salvador,composition_paper_cardboard_percent,%,2011
2916,Thailand,composition_paper_cardboard_percent,%,2012
2917,Palau,composition_paper_cardboard_percent,%,2014
2918,Uzbekistan,composition_paper_cardboard_percent,%,2006
2919,New Zealand,composition_paper_cardboard_percent,%,2008
2920,Singapore,composition_paper_cardboard_percent,%,2017
2921,Germany,composition_paper_cardboard_percent,%,2006
2922,St. Vincent and the Grenadines,composition_paper_cardboard_percent,%,2002
2923,Guyana,composition_paper_cardboard_percent,%,2010
2924,Hungary,composition_paper_cardboard_percent,%,2015
2925,Togo,composition_paper_cardboard_percent,%,2012
2926,St. Lucia,composition_paper_cardboard_percent,%,2008
2927,Sint Maarten (Dutch part),composition_paper_cardboard_percent,%,2015
2928,,composition_paper_cardboard_percent,%,2002
2929,Gibraltar,composition_paper_cardboard_percent,%,2006
2930,United Arab Emirates,composition_paper_cardboard_percent,%,2011
2931,"Gambia, The",composition_paper_cardboard_percent,%,2001
2932,"Macao SAR, China",composition_paper_cardboard_percent,%,2014
2933,Serbia,composition_paper_cardboard_percent,%,2012
2934,Cyprus,composition_paper_cardboard_percent,%,2014
2935,Grenada,composition_paper_cardboard_percent,%,2009
2936,Oman,composition_paper_cardboard_percent,%,2013
2937,Poland,composition_paper_cardboard_percent,%,2010
2938,Maldives,composition_paper_cardboard_percent,%,2016
2939,Norway,composition_paper_cardboard_percent,%,2010
2940,New Caledonia,composition_paper_cardboard_percent,%,2016
2941,France,composition_paper_cardboard_percent,%,2002
2942,Antigua and Barbuda,composition_paper_cardboard_percent,%,2015
2943,Uruguay,composition_paper_cardboard_percent,%,2003
2944,Kuwait,composition_paper_cardboard_percent,%,2014
2945,Lithuania,composition_paper_cardboard_percent,%,2010
2946,Cambodia,composition_paper_cardboard_percent,%,2010
2947,Kenya,composition_paper_cardboard_percent,%,1998
2948,Spain,composition_paper_cardboard_percent,%,2012
2949,Chile,composition_paper_cardboard_percent,%,2009
2950,Uganda,composition_paper_cardboard_percent,%,2006
2951,Fiji,composition_paper_cardboard_percent,%,2011
2952,San Marino,composition_paper_cardboard_percent,%,2016
2953,Mongolia,composition_paper_cardboard_percent,%,2016
2954,Czech Republic,composition_paper_cardboard_percent,%,2012
2955,Barbados,composition_paper_cardboard_percent,%,2013
2956,Argentina,composition_paper_cardboard_percent,%,2015
2957,Indonesia,composition_paper_cardboard_percent,%,2012
2958,Nauru,composition_paper_cardboard_percent,%,2016
2959,Samoa,composition_paper_cardboard_percent,%,2011
2960,Turks and Caicos Islands,composition_paper_cardboard_percent,%,2004
2961,American Samoa,composition_paper_cardboard_percent,%,2011
2962,Morocco,composition_paper_cardboard_percent,%,2014
2963,Sudan,composition_paper_cardboard_percent,%,2011
2964,Mali,composition_paper_cardboard_percent,%,1995
2965,Turkey,composition_paper_cardboard_percent,%,1993
2966,"Bahamas, The",composition_paper_cardboard_percent,%,2015
2967,Guam,composition_paper_cardboard_percent,%,2012
2968,Andorra,composition_paper_cardboard_percent,%,2005
2969,Nepal,composition_paper_cardboard_percent,%,2017
2970,Kiribati,composition_paper_cardboard_percent,%,2016
2971,Belize,composition_paper_cardboard_percent,%,2011
2972,Dominica,composition_paper_cardboard_percent,%,2002
2973,Tonga,composition_paper_cardboard_percent,%,2012
2974,Comoros,composition_paper_cardboard_percent,%,2003
2975,Brunei Darussalam,composition_paper_cardboard_percent,%,2005
2976,Monaco,composition_paper_cardboard_percent,%,2012
2977,Trinidad and Tobago,composition_paper_cardboard_percent,%,2010
2978,Romania,composition_paper_cardboard_percent,%,2014
2979,South Africa,composition_paper_cardboard_percent,%,2006
2980,Northern Mariana Islands,composition_paper_cardboard_percent,%,2016
2981,Solomon Islands,composition_plastic_percent,%,2011
2982,United Kingdom,composition_plastic_percent,%,2011
2983,Luxembourg,composition_plastic_percent,%,2014
2984,Nepal,composition_plastic_percent,%,2017
2985,"Macedonia, FYR",composition_plastic_percent,%,2015
2986,Thailand,composition_plastic_percent,%,2012
2987,Finland,composition_plastic_percent,%,2010
2988,Tuvalu,composition_plastic_percent,%,2016
2989,Kiribati,composition_plastic_percent,%,2016
2990,Turkmenistan,composition_plastic_percent,%,2000
2991,Libya,composition_plastic_percent,%,2010
2992,United Arab Emirates,composition_plastic_percent,%,2011
2993,Guatemala,composition_plastic_percent,%,2013
2994,Lithuania,composition_plastic_percent,%,2010
2995,Peru,composition_plastic_percent,%,2013
2996,"Yemen, Rep.",composition_plastic_percent,%,2016
2997,Senegal,composition_plastic_percent,%,2016
2998,Denmark,composition_plastic_percent,%,2015
2999,Burundi,composition_plastic_percent,%,2005
3000,"Iran, Islamic Rep.",composition_plastic_percent,%,2007
3001,,composition_plastic_percent,%,2002
3002,El Salvador,composition_plastic_percent,%,2011
3003,Pakistan,composition_plastic_percent,%,2017
3004,Czech Republic,composition_plastic_percent,%,2012
3005,"Macao SAR, China",composition_plastic_percent,%,2014
3006,Nigeria,composition_plastic_percent,%,2000
3007,Saudi Arabia,composition_plastic_percent,%,2015
3008,Philippines,composition_plastic_percent,%,2013
3009,Switzerland,composition_plastic_percent,%,2002
3010,Armenia,composition_plastic_percent,%,2015
3011,Chad,composition_plastic_percent,%,2006
3012,Russian Federation,composition_plastic_percent,%,2013
3013,Suriname,composition_plastic_percent,%,2002
3014,Guam,composition_plastic_percent,%,2012
3015,Albania,composition_plastic_percent,%,2015
3016,British Virgin Islands,composition_plastic_percent,%,2000
3017,Liechtenstein,composition_plastic_percent,%,2012
3018,"Micronesia, Fed. Sts.",composition_plastic_percent,%,2011
3019,Oman,composition_plastic_percent,%,2013
3020,Tunisia,composition_plastic_percent,%,2014
3021,Ecuador,composition_plastic_percent,%,2014
3022,Qatar,composition_plastic_percent,%,2016
3023,Zimbabwe,composition_plastic_percent,%,2015
3024,"Korea, Rep.",composition_plastic_percent,%,2013
3025,Indonesia,composition_plastic_percent,%,2012
3026,Singapore,composition_plastic_percent,%,2017
3027,Bahrain,composition_plastic_percent,%,2016
3028,Norway,composition_plastic_percent,%,2010
3029,Tonga,composition_plastic_percent,%,2012
3030,Honduras,composition_plastic_percent,%,2016
3031,Netherlands,composition_plastic_percent,%,2013
3032,Uzbekistan,composition_plastic_percent,%,2006
3033,Latvia,composition_plastic_percent,%,2011
3034,Palau,composition_plastic_percent,%,2014
3035,Mauritius,composition_plastic_percent,%,2016
3036,St. Vincent and the Grenadines,composition_plastic_percent,%,2002
3037,Hungary,composition_plastic_percent,%,2015
3038,Ukraine,composition_plastic_percent,%,2011
3039,Jamaica,composition_plastic_percent,%,2013
3040,Mauritania,composition_plastic_percent,%,2009
3041,Georgia,composition_plastic_percent,%,2007
3042,China,composition_plastic_percent,%,2014
3043,"Egypt, Arab Rep.",composition_plastic_percent,%,2013
3044,Bermuda,composition_plastic_percent,%,2010
3045,Spain,composition_plastic_percent,%,2012
3046,Jordan,composition_plastic_percent,%,2014
3047,Sri Lanka,composition_plastic_percent,%,2015
3048,Iceland,composition_plastic_percent,%,2013
3049,Kenya,composition_plastic_percent,%,1998
3050,Nauru,composition_plastic_percent,%,2016
3051,Seychelles,composition_plastic_percent,%,2003
3052,Ghana,composition_plastic_percent,%,2015
3053,Virgin Islands (U.S.),composition_plastic_percent,%,2015
3054,Malaysia,composition_plastic_percent,%,2014
3055,Morocco,composition_plastic_percent,%,2014
3056,Cuba,composition_plastic_percent,%,2005
3057,Comoros,composition_plastic_percent,%,2003
3058,Angola,composition_plastic_percent,%,2008
3059,Austria,composition_plastic_percent,%,2013
3060,Greenland,composition_plastic_percent,%,2011
3061,Vanuatu,composition_plastic_percent,%,2011
3062,Togo,composition_plastic_percent,%,2012
3063,American Samoa,composition_plastic_percent,%,2011
3064,Burkina Faso,composition_plastic_percent,%,2016
3065,Panama,composition_plastic_percent,%,2002
3066,Dominican Republic,composition_plastic_percent,%,2013
3067,Sweden,composition_plastic_percent,%,2014
3068,Poland,composition_plastic_percent,%,2010
3069,New Caledonia,composition_plastic_percent,%,2016
3070,Lao PDR,composition_plastic_percent,%,2015
3071,Barbados,composition_plastic_percent,%,2013
3072,Kazakhstan,composition_plastic_percent,%,2015
3073,Marshall Islands,composition_plastic_percent,%,2012
3074,Guinea,composition_plastic_percent,%,2007
3075,Bolivia,composition_plastic_percent,%,2010
3076,Colombia,composition_plastic_percent,%,2011
3077,Belgium,composition_plastic_percent,%,2014
3078,Croatia,composition_plastic_percent,%,2013
3079,Malta,composition_plastic_percent,%,2012
3080,Moldova,composition_plastic_percent,%,2014
3081,St. Lucia,composition_plastic_percent,%,2008
3082,Mongolia,composition_plastic_percent,%,2016
3083,West Bank and Gaza,composition_plastic_percent,%,2012
3084,United States,composition_plastic_percent,%,2014
3085,Trinidad and Tobago,composition_plastic_percent,%,2010
3086,Romania,composition_plastic_percent,%,2014
3087,Estonia,composition_plastic_percent,%,2013
3088,French Polynesia,composition_plastic_percent,%,2012
3089,Mexico,composition_plastic_percent,%,2012
3090,Grenada,composition_plastic_percent,%,2009
3091,Timor-Leste,composition_plastic_percent,%,2014
3092,Fiji,composition_plastic_percent,%,2011
3093,Guyana,composition_plastic_percent,%,2010
3094,Japan,composition_plastic_percent,%,2015
3095,St. Kitts and Nevis,composition_plastic_percent,%,2002
3096,Mali,composition_plastic_percent,%,1995
3097,Israel,composition_plastic_percent,%,2012
3098,Belize,composition_plastic_percent,%,2011
3099,Costa Rica,composition_plastic_percent,%,2014
3100,Uganda,composition_plastic_percent,%,2006
3101,Belarus,composition_plastic_percent,%,2016
3102,Cyprus,composition_plastic_percent,%,2014
3103,Australia,composition_plastic_percent,%,2011
3104,Dominica,composition_plastic_percent,%,2002
3105,Antigua and Barbuda,composition_plastic_percent,%,2015
3106,Sint Maarten (Dutch part),composition_plastic_percent,%,2015
3107,Cambodia,composition_plastic_percent,%,2010
3108,Puerto Rico,composition_plastic_percent,%,2003
3109,Portugal,composition_plastic_percent,%,2015
3110,Monaco,composition_plastic_percent,%,2012
3111,Papua New Guinea,composition_plastic_percent,%,2014
3112,Canada,composition_plastic_percent,%,2004
3113,Slovak Republic,composition_plastic_percent,%,2013
3114,Brazil,composition_plastic_percent,%,2010
3115,Montenegro,composition_plastic_percent,%,2013
3116,Turks and Caicos Islands,composition_plastic_percent,%,2004
3117,Turkey,composition_plastic_percent,%,1993
3118,Bhutan,composition_plastic_percent,%,2012
3119,Greece,composition_plastic_percent,%,2006
3120,Cameroon,composition_plastic_percent,%,2008
3121,New Zealand,composition_plastic_percent,%,2008
3122,Northern Mariana Islands,composition_plastic_percent,%,2016
3123,Serbia,composition_plastic_percent,%,2012
3124,South Africa,composition_plastic_percent,%,2006
3125,Argentina,composition_plastic_percent,%,2015
3126,Haiti,composition_plastic_percent,%,2016
3127,Bulgaria,composition_plastic_percent,%,2014
3128,Kuwait,composition_plastic_percent,%,2014
3129,Uruguay,composition_plastic_percent,%,2003
3130,Kosovo,composition_plastic_percent,%,2012
3131,France,composition_plastic_percent,%,2002
3132,Chile,composition_plastic_percent,%,2009
3133,Gibraltar,composition_plastic_percent,%,2006
3134,Ireland,composition_plastic_percent,%,2012
3135,Bangladesh,composition_plastic_percent,%,2012
3136,Samoa,composition_plastic_percent,%,2011
3137,Azerbaijan,composition_plastic_percent,%,2015
3138,Italy,composition_plastic_percent,%,2013
3139,Vietnam,composition_plastic_percent,%,2010
3140,"Hong Kong SAR, China",composition_plastic_percent,%,2016
3141,Niger,composition_plastic_percent,%,2005
3142,Germany,composition_plastic_percent,%,2006
3143,Benin,composition_plastic_percent,%,2002
3144,Sudan,composition_plastic_percent,%,2011
3145,San Marino,composition_plastic_percent,%,2016
3146,Syrian Arab Republic,composition_plastic_percent,%,2010
3147,Maldives,composition_plastic_percent,%,2016
3148,Algeria,composition_plastic_percent,%,2016
3149,Ethiopia,composition_plastic_percent,%,1995
3150,Cayman Islands,composition_plastic_percent,%,2003
3151,Iraq,composition_plastic_percent,%,2009
3152,Andorra,composition_plastic_percent,%,2005
3153,Brunei Darussalam,composition_plastic_percent,%,2005
3154,Lebanon,composition_plastic_percent,%,2014
3155,"Bahamas, The",composition_plastic_percent,%,2015
3156,Sri Lanka,waste_treatment_recycling_percent,tonnes/year,2016
3157,Cameroon,waste_treatment_recycling_percent,tonnes/year,2009
3158,Lithuania,waste_treatment_recycling_percent,tonnes/year,2015
3159,Australia,waste_treatment_recycling_percent,tonnes/year,2015
3160,Switzerland,waste_treatment_recycling_percent,tonnes/year,2015
3161,Denmark,waste_treatment_recycling_percent,tonnes/year,2015
3162,Puerto Rico,waste_treatment_recycling_percent,tonnes/year,2013
3163,Mexico,waste_treatment_recycling_percent,tonnes/year,2013
3164,Togo,waste_treatment_recycling_percent,tonnes/year,2012
3165,Guyana,waste_treatment_recycling_percent,tonnes/year,2010
3166,"Macao SAR, China",waste_treatment_recycling_percent,tonnes/year,2014
3167,India,waste_treatment_recycling_percent,tonnes/year,2013
3168,Tuvalu,waste_treatment_recycling_percent,tonnes/year,2013
3169,United Kingdom,waste_treatment_recycling_percent,tonnes/year,2015
3170,Austria,waste_treatment_recycling_percent,tonnes/year,2015
3171,Guinea,waste_treatment_recycling_percent,tonnes/year,2005
3172,Botswana,waste_treatment_recycling_percent,tonnes/year,2005
3173,Thailand,waste_treatment_recycling_percent,tonnes/year,2012
3174,Colombia,waste_treatment_recycling_percent,tonnes/year,2013
3175,Fiji,waste_treatment_recycling_percent,tonnes/year,2013
3176,Argentina,waste_treatment_recycling_percent,tonnes/year,2010
3177,Netherlands,waste_treatment_recycling_percent,tonnes/year,2015
3178,Barbados,waste_treatment_recycling_percent,tonnes/year,2015
3179,Latvia,waste_treatment_recycling_percent,tonnes/year,2015
3180,Curacao,waste_treatment_recycling_percent,tonnes/year,2013
3181,Slovak Republic,waste_treatment_recycling_percent,tonnes/year,2015
3182,Liechtenstein,waste_treatment_recycling_percent,tonnes/year,2015
3183,Vietnam,waste_treatment_recycling_percent,tonnes/year,2014
3184,Luxembourg,waste_treatment_recycling_percent,tonnes/year,2015
3185,Ireland,waste_treatment_recycling_percent,tonnes/year,2012
3186,Croatia,waste_treatment_recycling_percent,tonnes/year,2015
3187,Japan,waste_treatment_recycling_percent,tonnes/year,2015
3188,Cyprus,waste_treatment_recycling_percent,tonnes/year,2015
3189,South Africa,waste_treatment_recycling_percent,tonnes/year,2011
3190,"Egypt, Arab Rep.",waste_treatment_recycling_percent,tonnes/year,2013
3191,Cuba,waste_treatment_recycling_percent,tonnes/year,2015
3192,Qatar,waste_treatment_recycling_percent,tonnes/year,2014
3193,Montenegro,waste_treatment_recycling_percent,tonnes/year,2015
3194,Burkina Faso,waste_treatment_recycling_percent,tonnes/year,2005
3195,Zimbabwe,waste_treatment_recycling_percent,tonnes/year,2005
3196,Namibia,waste_treatment_recycling_percent,tonnes/year,2005
3197,Faeroe Islands,waste_treatment_recycling_percent,tonnes/year,2012
3198,Finland,waste_treatment_recycling_percent,tonnes/year,2015
3199,Sweden,waste_treatment_recycling_percent,tonnes/year,2015
3200,Lao PDR,waste_treatment_recycling_percent,tonnes/year,2015
3201,Russian Federation,waste_treatment_recycling_percent,tonnes/year,2012
3202,Vanuatu,waste_treatment_recycling_percent,tonnes/year,2013
3203,Saudi Arabia,waste_treatment_recycling_percent,tonnes/year,2015
3204,Algeria,waste_treatment_recycling_percent,tonnes/year,2013
3205,Samoa,waste_treatment_recycling_percent,tonnes/year,2013
3206,Spain,waste_treatment_recycling_percent,tonnes/year,2015
3207,Singapore,waste_treatment_recycling_percent,tonnes/year,2015
3208,Poland,waste_treatment_recycling_percent,tonnes/year,2015
3209,Niger,waste_treatment_recycling_percent,tonnes/year,2005
3210,Malta,waste_treatment_recycling_percent,tonnes/year,2015
3211,San Marino,waste_treatment_recycling_percent,tonnes/year,2016
3212,United States,waste_treatment_recycling_percent,tonnes/year,2014
3213,Isle of Man,waste_treatment_recycling_percent,tonnes/year,2011
3214,Peru,waste_treatment_recycling_percent,tonnes/year,2012
3215,"Korea, Rep.",waste_treatment_recycling_percent,tonnes/year,2014
3216,Monaco,waste_treatment_recycling_percent,tonnes/year,2012
3217,French Polynesia,waste_treatment_recycling_percent,tonnes/year,2013
3218,Indonesia,waste_treatment_recycling_percent,tonnes/year,2016
3219,Côte d’Ivoire,waste_treatment_recycling_percent,tonnes/year,2005
3220,Germany,waste_treatment_recycling_percent,tonnes/year,2015
3221,Hungary,waste_treatment_recycling_percent,tonnes/year,2015
3222,Aruba,waste_treatment_recycling_percent,tonnes/year,2013
3223,Canada,waste_treatment_recycling_percent,tonnes/year,2008
3224,Moldova,waste_treatment_recycling_percent,tonnes/year,2015
3225,Jordan,waste_treatment_recycling_percent,tonnes/year,2014
3226,Belgium,waste_treatment_recycling_percent,tonnes/year,2015
3227,Chile,waste_treatment_recycling_percent,tonnes/year,2009
3228,"Hong Kong SAR, China",waste_treatment_recycling_percent,tonnes/year,2016
3229,Mauritania,waste_treatment_recycling_percent,tonnes/year,2009
3230,Brazil,waste_treatment_recycling_percent,tonnes/year,2014
3231,Bahrain,waste_treatment_recycling_percent,tonnes/year,2012
3232,Northern Mariana Islands,waste_treatment_recycling_percent,tonnes/year,2016
3233,Norway,waste_treatment_recycling_percent,tonnes/year,2015
3234,Lebanon,waste_treatment_recycling_percent,tonnes/year,2014
3235,Ukraine,waste_treatment_recycling_percent,tonnes/year,2015
3236,Slovenia,waste_treatment_recycling_percent,tonnes/year,2015
3237,Morocco,waste_treatment_recycling_percent,tonnes/year,2014
3238,Israel,waste_treatment_recycling_percent,tonnes/year,2017
3239,Guam,waste_treatment_recycling_percent,tonnes/year,2011
3240,Bermuda,waste_treatment_recycling_percent,tonnes/year,2012
3241,Bhutan,waste_treatment_recycling_percent,tonnes/year,2016
3242,Tunisia,waste_treatment_recycling_percent,tonnes/year,2014
3243,Syrian Arab Republic,waste_treatment_recycling_percent,tonnes/year,2010
3244,Papua New Guinea,waste_treatment_recycling_percent,tonnes/year,2016
3245,Czech Republic,waste_treatment_recycling_percent,tonnes/year,2015
3246,"Congo, Dem. Rep.",waste_treatment_recycling_percent,tonnes/year,2005
3247,Italy,waste_treatment_recycling_percent,tonnes/year,2015
3248,Uruguay,waste_treatment_recycling_percent,tonnes/year,2011
3249,Portugal,waste_treatment_recycling_percent,tonnes/year,2014
3250,Uganda,waste_treatment_recycling_percent,tonnes/year,2017
3251,Bulgaria,waste_treatment_recycling_percent,tonnes/year,2015
3252,Belarus,waste_treatment_recycling_percent,tonnes/year,2016
3253,Benin,waste_treatment_recycling_percent,tonnes/year,2005
3254,West Bank and Gaza,waste_treatment_recycling_percent,tonnes/year,2013
3255,Kazakhstan,waste_treatment_recycling_percent,tonnes/year,2012
3256,Malaysia,waste_treatment_recycling_percent,tonnes/year,2016
3257,Marshall Islands,waste_treatment_recycling_percent,tonnes/year,2007
3258,"Macedonia, FYR",waste_treatment_recycling_percent,tonnes/year,2013
3259,Bolivia,waste_treatment_recycling_percent,tonnes/year,2015
3260,United Arab Emirates,waste_treatment_recycling_percent,tonnes/year,2015
3261,Pakistan,waste_treatment_recycling_percent,tonnes/year,2017
3262,"Yemen, Rep.",waste_treatment_recycling_percent,tonnes/year,2016
3263,Serbia,waste_treatment_recycling_percent,tonnes/year,2015
3264,Iceland,waste_treatment_recycling_percent,tonnes/year,2013
3265,"Congo, Rep.",waste_treatment_recycling_percent,tonnes/year,2005
3266,Estonia,waste_treatment_recycling_percent,tonnes/year,2015
3267,Cayman Islands,waste_treatment_recycling_percent,tonnes/year,2013
3268,Costa Rica,waste_treatment_recycling_percent,tonnes/year,2014
3269,Kenya,waste_treatment_recycling_percent,tonnes/year,2009
3270,France,waste_treatment_recycling_percent,tonnes/year,2015
3271,Mozambique,waste_treatment_recycling_percent,tonnes/year,2014
3272,Philippines,waste_treatment_recycling_percent,tonnes/year,2014
3273,"Iran, Islamic Rep.",waste_treatment_recycling_percent,tonnes/year,2017
3274,Greece,waste_treatment_recycling_percent,tonnes/year,2014
3275,Romania,waste_treatment_recycling_percent,tonnes/year,2015
3276,Ecuador,waste_treatment_recycling_percent,tonnes/year,2015
3277,Channel Islands,waste_treatment_recycling_percent,tonnes/year,2016
3278,Dominican Republic,waste_treatment_recycling_percent,tonnes/year,2015
